Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
593045,0,574136,11356201,1.00000,0,0,0.00000,0.00000,0.00000,0.00000
470528,1,574136,8931612,1.00000,5,4,20.42380,154.09600,-1.60010,-161.63100
461437,0,574136,30597339,1.00000,0,0,0.00000,0.00000,0.00000,0.00000
552988,5,574136,31536000,4873.72000,0,0,0.00000,0.00000,0.00000,0.00000
574136,5,536346,31536000,468.51000,0,0,0.00000,0.00000,0.00000,0.00000
574136,5,520660,31536000,304.00000,0,0,0.00000,0.00000,0.00000,0.00000
574136,5,567195,31536000,304.16000,0,0,0.00000,0.00000,0.00000,0.00000
574136,5,527449,31536000,96.55000,0,0,0.00000,0.00000,0.00000,0.00000
574136,5,459381,31536000,269.82000,0,0,0.00000,0.00000,0.00000,0.00000
574136,5,595298,31536000,73.86000,0,0,0.00000,0.00000,0.00000,0.00000
574136,5,466907,31536000,281.87000,0,0,0.00000,0.00000,0.00000,0.00000
574136,5,589943,31536000,86.11000,0,0,0.00000,0.00000,0.00000,0.00000
574136,5,537281,31536000,148.24000,0,0,0.00000,0.00000,0.00000,0.00000
574136,5,523927,31536000,660.18000,0,0,0.00000,0.00000,0.00000,0.00000
574136,5,580426,31536000,101.77000,0,0,0.00000,0.00000,0.00000,0.00000
574136,5,595581,31536000,46.08000,0,0,0.00000,0.00000,0.00000,0.00000
574136,5,616315,31536000,922.17000,0,0,0.00000,0.00000,0.00000,0.00000
574136,5,642329,31536000,189.96000,0,0,0.00000,0.00000,0.00000,0.00000
574136,5,503701,31536000,1088.50000,0,0,0.00000,0.00000,0.00000,0.00000
574136,5,644226,31536000,610.99000,0,0,0.00000,0.00000,0.00000,0.00000
574136,5,632961,31536000,5.65000,0,0,0.00000,0.00000,0.00000,0.00000
574136,5,473173,31536000,685.64000,0,0,0.00000,0.00000,0.00000,0.00000
574136,5,620120,31536000,254.21000,0,0,0.00000,0.00000,0.00000,0.00000
574136,5,621924,31536000,569.18000,0,0,0.00000,0.00000,0.00000,0.00000
533691,1,461437,28110409,1.00000,0,4,31.09550,-40.35140,4.68788,-166.72700
461437,0,533691,29643851,1.00000,0,0,0.00000,0.00000,0.00000,0.00000
461437,0,574136,30597339,1.00000,0,0,0.00000,0.00000,0.00000,0.00000
552988,5,461437,31536000,12110.70000,0,0,0.00000,0.00000,0.00000,0.00000
461437,5,640784,31536000,195.87000,0,0,0.00000,0.00000,0.00000,0.00000
461437,5,630626,31536000,1804.54000,0,0,0.00000,0.00000,0.00000,0.00000
461437,5,567195,31536000,1606.31000,0,0,0.00000,0.00000,0.00000,0.00000
461437,5,527449,31536000,116.15000,0,0,0.00000,0.00000,0.00000,0.00000
461437,5,459381,31536000,35.96000,0,0,0.00000,0.00000,0.00000,0.00000
461437,5,595298,31536000,1023.48000,0,0,0.00000,0.00000,0.00000,0.00000
461437,5,466907,31536000,360.49000,0,0,0.00000,0.00000,0.00000,0.00000
461437,5,537281,31536000,136.78000,0,0,0.00000,0.00000,0.00000,0.00000
461437,5,523927,31536000,1043.51000,0,0,0.00000,0.00000,0.00000,0.00000
461437,5,580426,31536000,126.65000,0,0,0.00000,0.00000,0.00000,0.00000
461437,5,616315,31536000,610.30000,0,0,0.00000,0.00000,0.00000,0.00000
