NodeID,NodeType
561157,5
616453,5
606730,4
499467,5
640784,4
657173,5
625689,1
642329,4
536346,4
552988,4
510261,1
575030,4
571970,4
506949,1
457543,1
610377,1
580426,4
594766,1
510031,4
652117,1
473173,4
620120,4
527449,4
487516,1
625756,5
630626,4
595298,4
621924,4
533094,1
463206,1
488050,1
459381,4
564599,1
589943,4
634234,1
629627,1
616315,4
595581,4
632961,4
644226,4
611974,1
600971,1
599441,1
503701,4
523927,4
567195,4
541601,1
509607,5
494508,1
598958,1
491440,1
503218,4
636858,1
584896,1
537281,4
533956,1
577992,4
645586,1
520660,4
466907,4
494819,1
477668,1
606702,1
523763,1
458232,1
